filename,dynasty,author,title,form,technique_zh,subject_zh,technique,subject,category_3,category_raw,category_fine
"五代后蜀_黃居寀_宣和图谱_页_工笔,花鸟_ _工笔,树枝,树叶,盛开花,红花,含苞花,印章 _  _e03c3e14.jpg",五代后蜀,黃居寀,宣和图谱,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"五代后蜀_黃居寀_宣和图谱_页_工笔,花鸟_ _工笔,树枝,树叶,草,白花,粉花 _  _  _ _cb52dcf5.jpg",五代后蜀,黃居寀,宣和图谱,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"五代后蜀_黃居寀_宣和图谱_页_工笔,花鸟_ _工笔,石头,树枝,树叶,盛开花,白花,红花,草,印章 _  _  _ _c201915b.jpg",五代后蜀,黃居寀,宣和图谱,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"五代后蜀_黃居寀_宣和图谱_页_工笔,花鸟_ _工笔,芦苇,树枝,盛开花,白花 _  _  _ _e3fcfb11.jpg",五代后蜀,黃居寀,宣和图谱,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"五代后蜀_黃居寀_宣和图谱_页_工笔,花鸟_ _工笔,芦苇,盛开花,含苞花,红花,白花,印章 _  _  _ _32921289.jpg",五代后蜀,黃居寀,宣和图谱,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"五代后蜀_黃居寀_宣和图谱_页_工笔,花鸟_ _工笔,芦苇,盛开花,树枝,树叶,白花,粉花,石头,草,印章 _  _  _ _d73fe352.jpg",五代后蜀,黃居寀,宣和图谱,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"五代后蜀_黃居寀_宣和图谱_页_工笔,花鸟_ _工笔,芦苇,盛开花,白花,印章 _  _  _ _2ec16ece.jpg",五代后蜀,黃居寀,宣和图谱,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"元 _ _寒林归樵册_页_水墨,山水_ _山水、人物 _ _93cmX49cm_东京博物馆_0d6ce927.jpg",元,,寒林归樵册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"元 _ _白衣观音图_页_工笔,人物_轴_人物 _ _83cmX39cm_日本京都国立博物馆_65d1a8d6.jpg",元,,白衣观音图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"元 _ _秋山行旅册_页_水墨,山水_ _山水 _ _190cmX118cm _ _0b0cd4f2.jpg",元,,秋山行旅册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"元_人_招涼仕女圖 _页_工笔,人物_人物 _  _  _ _6c5fa67d.jpg",元,人,招涼仕女圖,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"元_人_林亭秋色圖 _页_水墨,山水_  _  _  _ _9663a0a3.jpg",元,人,林亭秋色圖,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"元_任康民_山水册_页_水墨,山水_ _山水 _ _23.8cmX21cm _ _c971cf0c.jpg",元,任康民,山水册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"元_仿巨然_山水图_页_水墨,山水_轴_山水_绢本_170cmX85.26cm _ _6b453b72.jpg",元,仿巨然,山水图,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"元_仿巨然_山水图_页_水墨,山水_轴_山水_绢本_175.5cmX97.5cm _ _00d55308.jpg",元,仿巨然,山水图,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"元_倪瓒_幽涧寒松图_轴_水墨,山水_ _纸本_59.7cmX50.4cm _ _a60afd6f.jpg",元,倪瓒,幽涧寒松图,轴,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"元_倪瓒_枯木幽篁图_轴_水墨,山水_ _纸本_88.6cmX30cm_北京博物馆_5cc2e128.jpg",元,倪瓒,枯木幽篁图,轴,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"元_倪瓒_梧竹秀石图_轴_水墨,山水_ _纸本_96cmX36.5cm _ _9515fc7f.jpg",元,倪瓒,梧竹秀石图,轴,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"元_倪瓒_水竹居图_轴_浅绛,山水_山水 _ _28cmX48cm _ _8497428f.jpg",元,倪瓒,水竹居图,轴,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"元_倪瓒_江渚风林图_轴_水墨,山水_  _ _59.1cmX31.1cm_大都会博物馆_4f124cd5.jpg",元,倪瓒,江渚风林图,轴,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"元_倪瓒_王绎_杨竹_轴_写意,人物_西小像 _  _  _  _  _ _819930d8.jpg",元,倪瓒,王绎,杨竹,写意,人物,Xieyi,Figure,Figure,Xieyi-Figure,Xieyi-Figure
"元_倪瓒_疏林图_轴_水墨,山水_  _ _68cmX57cm_日本_67b46d9f.jpg",元,倪瓒,疏林图,轴,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"元_倪瓒_紫芝山房图_轴_水墨,山水_  _ _80.5cmX34.8cm_台北故宫博物院_fd315ca2.jpg",元,倪瓒,紫芝山房图,轴,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"元_吴镇_溪山高隐图_页_水墨,山水_轴_山水_绢本_160.5cmX73.4cm _ _7b3dda9e.jpg",元,吴镇,溪山高隐图,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"元_吴镇_花鸟册_双页_没骨,花鸟_印章,文字,竹节,竹叶_纸本_ _ _9f936b1e.jpg",元,吴镇,花鸟册,双页,没骨,花鸟,Mogu,FlowerBird,FlowerBird,Mogu-FlowerBird,Mogu-FlowerBird
"元_吴镇_花鸟册_双页_没骨,花鸟_文字,竹节,竹叶,印章,文字_纸本_ _ _81deb249.jpg",元,吴镇,花鸟册,双页,没骨,花鸟,Mogu,FlowerBird,FlowerBird,Mogu-FlowerBird,Mogu-FlowerBird
"元_吴镇_花鸟册_双页_没骨,花鸟_树,竹节,竹叶,印章,文字_纸本_ _ _91976cdf.jpg",元,吴镇,花鸟册,双页,没骨,花鸟,Mogu,FlowerBird,FlowerBird,Mogu-FlowerBird,Mogu-FlowerBird
"元_吴镇_花鸟册_双页_没骨,花鸟_石头,竹节,竹叶,印章,文字,石头_纸本_ _ _54e94ed3.jpg",元,吴镇,花鸟册,双页,没骨,花鸟,Mogu,FlowerBird,FlowerBird,Mogu-FlowerBird,Mogu-FlowerBird
"元_吴镇_花鸟册_双页_没骨,花鸟_竹,竹叶,竹节,印章,文字_纸本_ _ _388fbfb5.jpg",元,吴镇,花鸟册,双页,没骨,花鸟,Mogu,FlowerBird,FlowerBird,Mogu-FlowerBird,Mogu-FlowerBird
"元_吴镇_花鸟册_双页_没骨,花鸟_竹,竹叶,竹节,文字,印章_纸本_ _ _8463c7be.jpg",元,吴镇,花鸟册,双页,没骨,花鸟,Mogu,FlowerBird,FlowerBird,Mogu-FlowerBird,Mogu-FlowerBird
"元_吴镇_花鸟册_双页_没骨,花鸟_竹,竹节,石头,草,文字,印章_纸本_ _ _2c41071e.jpg",元,吴镇,花鸟册,双页,没骨,花鸟,Mogu,FlowerBird,FlowerBird,Mogu-FlowerBird,Mogu-FlowerBird
"元_吴镇_花鸟册_双页_没骨,花鸟_竹节,竹,文字,印章_纸本_ _ _1df502a3.jpg",元,吴镇,花鸟册,双页,没骨,花鸟,Mogu,FlowerBird,FlowerBird,Mogu-FlowerBird,Mogu-FlowerBird
"元_唐子华_山居说听图_页_水墨,山水_  _ _24cmX24.8cm _ _1c034c38.jpg",元,唐子华,山居说听图,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"元_商琦_春山图_卷_浅绛,山水_山水_绢本_39.6cmX217cm _ _162a44ea.jpg",元,商琦,春山图,卷,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"元_因陀罗_寒山拾得图_页_写意,人物_禅机图断简 _ _人物_纸本 _  _ _6fab056f.jpg",元,因陀罗,寒山拾得图,页,写意,人物,Xieyi,Figure,Figure,Xieyi-Figure,Xieyi-Figure
"元_夏叔文_柳汀聚禽图_页_工笔,花鸟_ _花鸟 _ _128cmX66.5cm _ _e09a0c66.jpg",元,夏叔文,柳汀聚禽图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"元_孙君泽_高士观眺图_页_水墨,山水_ _山水_ _137cmX111cm _ _b95d62a5.jpg",元,孙君泽,高士观眺图,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"元_方从义_云山图_页_水墨,山水_卷_山水 _ _27cmX144.5cm _ _73760a8a.jpg",元,方从义,云山图,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"元_方從義_崇岡獨眺圖 _页_水墨,山水_山水 _  _  _ _684c28d4.jpg",元,方從義,崇岡獨眺圖,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"元_普明_兰图_页_写意,花鸟_ _花鸟 _ _50cmX54cm _ _a38acd01.jpg",元,普明,兰图,页,写意,花鸟,Xieyi,FlowerBird,FlowerBird,Xieyi-FlowerBird,Xieyi-FlowerBird
"元_沈孟坚_牡丹蝴蝶图_页_工笔,花鸟_ _工笔,花鸟 _ _26.9cmX27cm _ _fced131d.jpg",元,沈孟坚,牡丹蝴蝶图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"元_王渊_花竹锦鸡图_页_工笔,花鸟_花竹、锦鸡_绢本_135cmX85cm _ _83140865.jpg",元,王渊,花竹锦鸡图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"元_王蒙_秋山草堂册_页_浅绛,山水_ _山水_纸本_123.3cmX54.8cm _ _1d1bbbdd.jpg",元,王蒙,秋山草堂册,页,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"元_盛懋_山居纳凉图_页_浅绛,山水_  _ _120.81cmX56.99cm_纳尔逊博物馆_717d6517.jpg",元,盛懋,山居纳凉图,页,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"元_盛懋_山水图 _页_浅绛,山水_山水 _ _30.3cmX24.4cm _ _e807f8de.jpg",元,盛懋,山水图,页,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"元_盛懋_秋溪放艇册_页_水墨,山水_ _山水_绢本_67cmX72cm _ _bf293f15.jpg",元,盛懋,秋溪放艇册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"元_盛懋_秋溪釣庭圖 _页_浅绛,山水_山水 _  _  _ _61b5add1.jpg",元,盛懋,秋溪釣庭圖,页,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"元_盛昌年_柳燕图_页_工笔,花鸟_ _花鸟_纸本_75.9cmX25.5cm _ _b89209db.jpg",元,盛昌年,柳燕图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"元_赵孟頫,赵雍,赵麟_三世人马图 _页_工笔,人物_人马 _ _30cmX177cm_大都会博物馆_d7ca29b8.jpg",元,"赵孟頫,赵雍,赵麟",三世人马图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"元_赵孟頫_红衣罗汉图_页_工笔,人物_ _人物_纸本_26cmX52cm _ _c7597e11.jpg",元,赵孟頫,红衣罗汉图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"元_赵孟頮_双松平远册_页_水墨,山水_ _山水 _ _26.8cmX107.5cm _ _33edfac4.jpg",元,赵孟頮,双松平远册,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"元_郭熙_雪山行旅图_页_水墨,山水_轴_山水_绢布_106cmX51.5cm _ _0016c71a.jpg",元,郭熙,雪山行旅图,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"元_钱选_八花图_页_工笔,花鸟_卷_花鸟 _ _29cmX333.9cm _ _9c582d6f.jpg",元,钱选,八花图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"元_钱选_王羲之观鹅图_页_浅绛,山水_卷 _ 青绿山水_纸本 _ _大都会博物馆_765d72e7.jpg",元,钱选,王羲之观鹅图,页,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"元_钱选_芭蕉唐子册_页_工笔,人物_  _山水_ _37cmX38cm _ _5fb22026.jpg",元,钱选,芭蕉唐子册,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"元_钱选_花鸟图_页_写意,花鸟_卷_花鸟_纸本_38cmX316.7cm_天津博物馆_f84c6fb3.jpg",元,钱选,花鸟图,页,写意,花鸟,Xieyi,FlowerBird,FlowerBird,Xieyi-FlowerBird,Xieyi-FlowerBird
"元_钱选_花鸟图_页_工笔,花鸟_卷_花鸟_纸本_38cmX316.7cm_天津博物馆_1735758774_5fd16a03.jpg",元,钱选,花鸟图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"元_钱选_鼠图_页_工笔,花鸟_ _花鸟 _ _24.3cmX27cm _ _bb3036b1.jpg",元,钱选,鼠图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"元_陈鉴如_竹林大士出山图_ 卷_工笔,人物_古树,石头,草,对话,集体人物_纸本,绢本_ _ _db78481d.jpg",元,陈鉴如,竹林大士出山图,卷,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"元_陈鉴如_竹林大士出山图_ 卷_工笔,人物_山林,石头,草,贵族人物,欢聚,印章,文字_纸本,绢本_0b77386d.jpg",元,陈鉴如,竹林大士出山图,卷,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"元_颜辉_十六罗汉图_页_工笔,人物_卷_人物 _ _25cmX256cm _ _fbb548de.jpg",元,颜辉,十六罗汉图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"元_高克恭_夏山過雨圖 _页_水墨,山水_山水 _  _  _ _1735758774_30e2198d.jpg",元,高克恭,夏山過雨圖,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"唐 _ _仕女图_页_工笔,人物_ _人物_绢本_27.95cmX73.31cm _ _7289936e.jpg",唐,,仕女图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_佚名_宫乐图_页_工笔,人物_页_工笔,人物_  _ _绢本_48.7cmX69cm _ _3a8b5993.jpg",唐,佚名,宫乐图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_吴道子_先师孔子行教像_页_工笔,人物_拓片_人物 _ _97cmX48cm _ _7dabac2e.jpg",唐,吴道子,先师孔子行教像,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_吴道子_八十七神仙_页_工笔,人物_卷_人物_绢本_30cmX292cm_徐悲鸿纪念馆_906ce7d8.jpg",唐,吴道子,八十七神仙,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_吴道子_写意观音像_页_工笔,人物_拓片_观音 _ _68cmX31cm _ _69708bb5.jpg",唐,吴道子,写意观音像,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_吴道子_观音菩萨像_页_工笔,人物_拓片_人物 _ _80cmX32cm _ _58ab0913.jpg",唐,吴道子,观音菩萨像,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_吴道子_送子天王图_页_工笔,人物_页_工笔,人物_  _ _纸本_35.5cmX338cm_日本大阪市立美術館_b3d9724a.jpg",唐,吴道子,送子天王图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_周肪_簪花仕女图_页_工笔,人物_卷_仕女_绢本_182cmX46.4cm_辽宁博物馆_1735758774_4b6821ff.jpg",唐,周肪,簪花仕女图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_孙位_竹林七贤图_卷_工笔,人物_绢本_36cmX137cm _ _1992f31f.jpg",唐,孙位,竹林七贤图,卷,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_张暄_捣练图_页_工笔,人物_页_工笔,人物_  _  _ _37cmX145cm _ _e4300c94.jpg",唐,张暄,捣练图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_张祐_梅图_页_工笔,人物_页_写意,花鸟_ _花鸟 _ _21.4cmX25cm _ _05578a41.jpg",唐,张祐,梅图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_惠崇_雁图_页_工笔,花鸟_ _花鸟 _ _46cmX50cm _ _0f9c6086.jpg",唐,惠崇,雁图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"唐_戴泽_牧童图_页_工笔,人物_ _人物 _ _41X37cm _ _4ddeaaab.jpg",唐,戴泽,牧童图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_李思训_九成避暑图_页_浅绛,山水_页 _青绿山水_纸本_41cmX81cm_故宫博物院_462dfb65.jpg",唐,李思训,九成避暑图,页,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"唐_李思训_宫苑图_页_浅绛,山水_卷 _青绿山水_绢本_23.9cmX77.2cm_北京故宫博物院_aef36bdf.jpg",唐,李思训,宫苑图,页,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"唐_杨升_蓬莱飞雪图_轴_浅绛,山水_ _ _75x68 _ _3b7537e1.jpg",唐,杨升,蓬莱飞雪图,轴,浅绛,山水,LightOchre,Landscape,Landscape,LightOchre-Landscape,LightOchre-Landscape
"唐_赵福_犹图_页_工笔,人物_页_工笔,人物_  _  _ _24.4cmX24cm _ _442a64b5.jpg",唐,赵福,犹图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_赵福_羊图_页_工笔,人物_页_工笔,人物_ _花鸟 _ _24.8cmX25cm _ _9e82dd10.jpg",唐,赵福,羊图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_郑虔_峻岭溪桥图_页_水墨,山水_山水 _ _24.8cmX26.3cm _ _dc7860c9.jpg",唐,郑虔,峻岭溪桥图,页,水墨,山水,Ink,Landscape,Landscape,Ink-Landscape,Ink-Landscape
"唐_阎立本_佛_页_工笔,人物_ _人物 _  _  _ _6319cb3b.jpg",唐,阎立本,佛,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_阎立本_北齐校书图_页_工笔,人物_卷 _ _绢本_80cmX240cm _ _99dbc73b.jpg",唐,阎立本,北齐校书图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_阎立本_步辇图_页_工笔,人物_卷 _ _绢本_38.5cmX129.6cm _ _c881b67a.jpg",唐,阎立本,步辇图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_阎立本_步辇图_页_工笔,人物_页_工笔,人物_  _  _ _38.5cmX129cm _ _f6ae14f6.jpg",唐,阎立本,步辇图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_阎立本_画孔子弟子像卷_卷_工笔,人物_人物 _ _32.3cmX870cm _ _b1489095.jpg",唐,阎立本,画孔子弟子像卷,卷,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_阎立本_职贡图_页_工笔,人物_页_工笔,人物_  _ _绢本_61.5cmX191.5cm_台北故宫_6943ba44.jpg",唐,阎立本,职贡图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_阎立本_萧翼赚兰亭_页_工笔,人物_画芯 _ _绢本_28cmX65cm _ _ebed8b5a.jpg",唐,阎立本,萧翼赚兰亭,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"唐_阎立本_萧翼赚兰亭图_页_工笔,人物_页_工笔,人物_  _ _绢本_28cmX158cm _ _2c030b3a.jpg",唐,阎立本,萧翼赚兰亭图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋 _ _冬日戏婴图_页_工笔,人物_人物_绢本_196.2cmX107.1cm _ _02d1e730.jpg",宋,,冬日戏婴图,页,工笔,人物,Gongbi,Figure,Figure,Gongbi-Figure,Gongbi-Figure
"宋 _ _出水芙蓉图_页_工笔,花鸟_页_花鸟_绢本_23.8cmX25cm _ _71762a9c.jpg",宋,,出水芙蓉图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋 _ _夏卉骈芳图_页_工笔,花鸟_页_花鸟 _ _48cmX93cm _ _0f74bf79.jpg",宋,,夏卉骈芳图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
"宋 _ _夜合花图_页_工笔,花鸟_页_花鸟 _ _24.5cmX25.4cm _ _a7fc9fcb.jpg",宋,,夜合花图,页,工笔,花鸟,Gongbi,FlowerBird,FlowerBird,Gongbi-FlowerBird,Gongbi-FlowerBird
